setting,top_k,recall,precision,tokens,nodes_scored
scale=0.05_bias=0.0_expand=on_kb=3_focus=0.6,5,0.32,0.146,488.44,2399.42
scale=0.05_bias=0.0_expand=on_kb=3_focus=0.6,10,0.38,0.095,981.69,2399.42
scale=0.05_bias=0.0_expand=on_kb=3_focus=0.85,3,0.3,0.16666666666666669,292.12,2339.94
scale=0.05_bias=0.0_expand=on_kb=3_focus=0.85,5,0.32,0.12,486.74,2339.94
scale=0.05_bias=0.0_expand=on_kb=3_focus=0.85,10,0.39,0.07600000000000001,980.91,2339.94
scale=0.05_bias=0.0_expand=on_kb=5_focus=0.6,3,0.33,0.2333333333333333,289.95,3846.2
scale=0.05_bias=0.0_expand=on_kb=5_focus=0.6,5,0.38,0.20800000000000002,485.15,3846.2
scale=0.05_bias=0.0_expand=on_kb=5_focus=0.6,10,0.42,0.139,978.11,3846.2
scale=0.05_bias=0.0_expand=on_kb=5_focus=0.85,3,0.34,0.18666666666666665,289.15,3722.86
scale=0.05_bias=0.0_expand=on_kb=5_focus=0.85,5,0.37,0.16,484.38,3722.86
scale=0.05_bias=0.0_expand=on_kb=5_focus=0.85,10,0.43,0.111,977.41,3722.86
scale=0.05_bias=0.05_expand=off_kb=2_focus=0.6,3,0.27,0.15666666666666665,292.0,1698.73
scale=0.05_bias=0.05_expand=off_kb=2_focus=0.6,5,0.28,0.10800000000000001,489.78,1698.73
scale=0.05_bias=0.05_expand=off_kb=2_focus=0.6,10,0.36,0.07200000000000001,985.85,1698.73
scale=0.05_bias=0.05_expand=off_kb=2_focus=0.85,3,0.27,0.13333333333333333,291.07,1669.67
scale=0.05_bias=0.05_expand=off_kb=2_focus=0.85,5,0.29,0.09200000000000001,489.78,1669.67
scale=0.05_bias=0.05_expand=off_kb=2_focus=0.85,10,0.38,0.061000000000000006,985.85,1669.67
scale=0.05_bias=0.05_expand=off_kb=3_focus=0.6,3,0.29,0.2033333333333333,292.12,2397.73
scale=0.05_bias=0.05_expand=off_kb=3_focus=0.6,5,0.32,0.146,488.44,2397.73
scale=0.05_bias=0.05_expand=off_kb=3_focus=0.6,10,0.38,0.095,981.69,2397.73
scale=0.05_bias=0.05_expand=off_kb=3_focus=0.85,3,0.3,0.16666666666666669,292.12,2338.48
scale=0.05_bias=0.05_expand=off_kb=3_focus=0.85,5,0.32,0.12,486.74,2338.48
scale=0.05_bias=0.05_expand=off_kb=3_focus=0.85,10,0.39,0.07600000000000001,980.91,2338.48
scale=0.05_bias=0.05_expand=off_kb=5_focus=0.6,3,0.33,0.2333333333333333,289.95,3842.61
scale=0.05_bias=0.05_expand=off_kb=5_focus=0.6,5,0.38,0.20800000000000002,485.15,3842.61
scale=0.05_bias=0.05_expand=off_kb=5_focus=0.6,10,0.42,0.139,978.11,3842.61
scale=0.05_bias=0.05_expand=off_kb=5_focus=0.85,3,0.34,0.18666666666666665,289.15,3719.48
scale=0.05_bias=0.05_expand=off_kb=5_focus=0.85,5,0.37,0.16,484.38,3719.48
scale=0.05_bias=0.05_expand=off_kb=5_focus=0.85,10,0.43,0.111,977.41,3719.48
scale=0.05_bias=0.05_expand=on_kb=2_focus=0.6,3,0.27,0.15666666666666665,292.0,1699.25
scale=0.05_bias=0.05_expand=on_kb=2_focus=0.6,5,0.28,0.10800000000000001,489.78,1699.25
scale=0.05_bias=0.05_expand=on_kb=2_focus=0.6,10,0.36,0.07200000000000001,985.85,1699.25
scale=0.05_bias=0.05_expand=on_kb=2_focus=0.85,3,0.27,0.13333333333333333,291.07,1670.19
scale=0.05_bias=0.05_expand=on_kb=2_focus=0.85,5,0.29,0.09200000000000001,489.78,1670.19
scale=0.05_bias=0.05_expand=on_kb=2_focus=0.85,10,0.38,0.061000000000000006,985.85,1670.19
scale=0.05_bias=0.05_expand=on_kb=3_focus=0.6,3,0.29,0.2033333333333333,292.12,2398.51
scale=0.05_bias=0.05_expand=on_kb=3_focus=0.6,5,0.32,0.146,488.44,2398.51
scale=0.05_bias=0.05_expand=on_kb=3_focus=0.6,10,0.38,0.095,981.69,2398.51
scale=0.05_bias=0.05_expand=on_kb=3_focus=0.85,3,0.3,0.16666666666666669,292.12,2339.26
scale=0.05_bias=0.05_expand=on_kb=3_focus=0.85,5,0.32,0.12,486.74,2339.26
scale=0.05_bias=0.05_expand=on_kb=3_focus=0.85,10,0.39,0.07600000000000001,980.91,2339.26
scale=0.05_bias=0.05_expand=on_kb=5_focus=0.6,3,0.33,0.2333333333333333,289.95,3844.91
scale=0.05_bias=0.05_expand=on_kb=5_focus=0.6,5,0.38,0.20800000000000002,485.15,3844.91
scale=0.05_bias=0.05_expand=on_kb=5_focus=0.6,10,0.42,0.139,978.11,3844.91
scale=0.05_bias=0.05_expand=on_kb=5_focus=0.85,3,0.34,0.18666666666666665,289.15,3721.78
scale=0.05_bias=0.05_expand=on_kb=5_focus=0.85,5,0.37,0.16,484.38,3721.78
scale=0.05_bias=0.05_expand=on_kb=5_focus=0.85,10,0.43,0.111,977.41,3721.78
